업종명,업소명,소재지(도로명),소재지(지번),위도,경도,데이터기준일자
일반음식점,서산아지매,제주특별자치도 서귀포시 대정읍 하모상가로 23,제주특별자치도 서귀포시 대정읍 하모리 945번지 5호 ,33.2216217,126.2514119,2018-02-23
일반음식점,너는나의바다,제주특별자치도 서귀포시 대정읍 최남단해안로127번길 3-3,제주특별자치도 서귀포시 대정읍 하모리 636번지 4호 ,33.2116934,126.2576906,2018-02-23
일반음식점,건호네식당,제주특별자치도 서귀포시 대정읍 송악관광로411번길 2,제주특별자치도 서귀포시 대정읍 상모리 126번지 5호 ,33.2085292,126.2906582,2018-02-23
일반음식점,팔공주네횟집,제주특별자치도 서귀포시 김정문화로 61 (서호동),제주특별자치도 서귀포시 서호동 1476번지 8호 ,33.251034,126.5113486,2018-02-23
일반음식점,중문정든해장국집,제주특별자치도 서귀포시 일주서로 773 (중문동),제주특별자치도 서귀포시 중문동 1355번지 6호 ,33.2584326,126.4353135,2018-02-23
일반음식점,도리치킨,제주특별자치도 서귀포시 천제연로207번길 17 (중문동),제주특별자치도 서귀포시 중문동 2011번지 9호 ,33.2531635,126.4269765,2018-02-23
일반음식점,아일랜드스토리,제주특별자치도 서귀포시 중문관광로72번길 29-9 (색달동),제주특별자치도 서귀포시 색달동 2822번지 2호 외2필지 ,33.2496778,126.4113633,2018-02-23
일반음식점,뚱이네뷔페,제주특별자치도 서귀포시 천지로 26 (서귀동),제주특별자치도 서귀포시 서귀동 295번지 7호 ,33.2498051,126.5609,2018-02-23
일반음식점,한라산저팔계,제주특별자치도 서귀포시 중앙로59번길 8 (서귀동),제주특별자치도 서귀포시 서귀동 296번지 7호 ,33.2500167,126.5608751,2018-02-23
일반음식점,옛날손칼국수,제주특별자치도 서귀포시 중앙로 19 (서귀동),제주특별자치도 서귀포시 서귀동 433번지 8호 ,33.2464212,126.5618955,2018-02-23
일반음식점,요네주방,제주특별자치도 서귀포시 남원읍 공천포로 83,제주특별자치도 서귀포시 남원읍 신례리 30번지 6호 ,33.2661075,126.6420477,2018-02-23
일반음식점,아트빌라스클럽라운지,제주특별자치도 서귀포시 색달중앙로252번길 124 (색달동),제주특별자치도 서귀포시 색달동 301번지 ,33.2812324,126.4158092,2018-02-23
일반음식점,흑두루,제주특별자치도 서귀포시 동문동로 33 (서귀동),제주특별자치도 서귀포시 서귀동 269번지 6호 ,33.251093,126.564831,2018-02-23
일반음식점,인우식당,제주특별자치도 서귀포시 중앙로48번길 32 (서귀동),제주특별자치도 서귀포시 서귀동 272번지 1호 ,33.2494819,126.5650763,2018-02-23
일반음식점,필,제주특별자치도 서귀포시 대정읍 하모상가로 40-2,제주특별자치도 서귀포시 대정읍 하모리 919번지 4호 ,33.2214513,126.2533364,2018-02-23
일반음식점,아트빌라스커뮤니티센터,제주특별자치도 서귀포시 색달중앙로252번길 124 (색달동),제주특별자치도 서귀포시 색달동 301번지 ,33.2812324,126.4158092,2018-02-23
