












;[1]
"　",,"응답자수","비율"
"[전체]",,"6,181","100.0"
"거주지","서울특별시","1,467","23.7"
,"부산광역시","724","11.7"
,"대구광역시","538","8.7"
,"인천광역시","375","6.1"
,"광주광역시","215","3.5"
,"대전광역시","185","3.0"
,"울산광역시","187","3.0"
,"세종자치시","34","0.5"
,"경기도","1,284","20.8"
,"강원도","99","1.6"
,"충청도","262","4.2"
,"전라도","385","6.2"
,"경상도","416","6.7"
,"기타 지역","11","0.2"
"성별","남자","2,600","42.1"
,"여자","3,581","57.9"
"연령","15세 - 20세","127","2.1"
,"21세 - 30세","1,412","22.9"
,"31세 - 40세","1,518","24.6"
,"41세 - 50세","1,250","20.2"
,"51세 - 60세","1,371","22.2"
,"61세 이상","503","8.1"
"방문목적","휴가 및 순수여행","5,571","90.1"
,"비즈니스여행","405","6.6"
,"기타여행","204","3.3"
"여행형태","개별여행","5,884","95.2"
,"패키지여행","248","4.0"
,"부분패키지여행","49","0.8"
"방문횟수","1회","1,934","31.3"
,"2회","2,483","40.2"
,"3회","813","13.2"
,"4회 이상","951","15.4"
;




;[2]
"　",,"응답자수","1일","2일","3일","4일","5일","6일"
,"부분 패키지여행","87 ","6.2 ","24.0 ","26.2 ","10.3 ","11.5 ","3.9 ","3.6 ","0.6 ","13.1 ","0.6 "
"방문횟수","1회","2,396 ","15.0 ","25.2 ","21.8 ","15.5 ","8.9 ","2.0 ","6.1 ","1.5 ","3.7 ","0.2 "
,"2회","455 ","11.0 ","20.5 ","26.3 ","19.5 ","8.3 ","2.9 ","5.1 ","2.3 ","4.2 ","0.0 "
,"3회","249 ","4.2 ","17.0 ","21.6 ","27.7 ","13.9 ","2.7 ","3.0 ","1.5 ","8.4 ","0.0 "
,"4회 이상","428 ","8.5 ","18.9 ","23.1 ","28.4 ","10.5 ","1.5 ","3.9 ","1.5 ","3.7 ","0.0 "
;



;[111]
"　",,"응답자수","출발하기 1주 이내","출발하기 1-2주 전","출발하기 3-4주 전","출발하기 1-2개월 전","출발하기 3-6개월 전","기타"
"[전체]",,"3,916","15.0 ","19.1 ","25.9 ","28.4 ","11.2 ","0.4 "
"거주지","일본권","304 ","9.0 ","11.5 ","26.4 ","41.2 ","11.9 ","0.0 "
,"중국권","2,249 ","16.8 ","24.0 ","29.2 ","26.2 ","3.5 ","0.2 "
,"중화권","261 ","16.6 ","15.0 ","11.8 ","28.7 ","27.9 ","0.0 "
,"동남아권","620 ","11.7 ","10.4 ","21.0 ","27.1 ","27.8 ","2.0 "
,"북미권","83 ","8.6 ","9.1 ","32.3 ","33.8 ","16.2 ","0.0 "
,"기타","399 ","14.4 ","15.6 ","21.8 ","31.3 ","16.6 ","0.2 "
"성별","남자","1,061 ","18.5 ","17.8 ","23.5 ","27.9 ","11.8 ","0.5 "
,"여자","2,855 ","13.7 ","19.6 ","26.7 ","28.6 ","11.0 ","0.4 "
"연령","15세 - 20세","153 ","12.2 ","22.4 ","20.4 ","24.6 ","20.4 ","0.0 "
,"21세 - 30세","2,152 ","15.5 ","21.7 ","26.5 ","28.6 ","7.4 ","0.3 "
,"31세 - 40세","1,101 ","13.6 ","17.3 ","28.7 ","24.7 ","14.7 ","0.9 "
,"41세 - 50세","293 ","20.4 ","11.6 ","19.8 ","33.3 ","14.9 ","0.0 "
,"51세 - 60세","154 ","12.6 ","6.6 ","16.7 ","45.8 ","18.3 ","0.0 "
,"61세 이상","63 ","7.7 ","20.5 ","18.7 ","27.8 ","25.3 ","0.0 "
"방문목적","휴가 및 순수여행","3,419 ","14.9 ","19.1 ","25.3 ","28.1 ","12.1 ","0.5 "
,"비즈니스여행","136 ","16.9 ","17.8 ","27.8 ","28.3 ","8.9 ","0.3 "
,"기타","360 ","14.9 ","19.9 ","30.3 ","30.8 ","3.8 ","0.2 "
"여행형태","개별여행","3,399 ","14.8 ","19.4 ","26.7 ","28.0 ","10.6 ","0.5 "
,"완전 패키지여행","423 ","16.2 ","15.2 ","20.6 ","31.0 ","16.8 ","0.2 "
,"부분 패키지여행","93 ","15.3 ","25.8 ","19.3 ","29.0 ","9.7 ","1.0 "
"방문횟수","1회","2,629 ","15.1 ","17.3 ","23.6 ","29.3 ","14.3 ","0.4 "
,"2회","527 ","16.5 ","23.4 ","24.6 ","27.3 ","7.4 ","0.8 "
,"3회","277 ","10.4 ","27.3 ","33.4 ","24.4 ","3.8 ","0.6 "
,"4회 이상","483 ","15.3 ","19.7 ","35.2 ","26.9 ","2.6 ","0.3 "
;



;[112]
"　",,"응답자수","혼자왔음","가족/친지","친구/연인","직장동료","기타"
"[전체]",,"3,916","14.5 ","35.0 ","44.6 ","6.2 ","2.0 "
"거주지","일본권","304 ","14.3 ","25.5 ","55.2 ","3.7 ","3.4 "
,"중국권","2,249 ","16.4 ","29.2 ","48.5 ","6.1 ","1.4 "
,"중화권","261 ","4.0 ","37.7 ","53.1 ","9.9 ","0.1 "
,"동남아권","620 ","4.9 ","58.7 ","30.3 ","6.9 ","3.3 "
,"북미권","83 ","15.4 ","55.9 ","30.9 ","0.0 ","0.0 "
,"기타","399 ","25.7 ","31.7 ","34.2 ","6.0 ","3.7 "
"성별","남자","1,061 ","15.5 ","40.6 ","36.3 ","7.6 ","1.9 "
,"여자","2,855 ","14.1 ","32.9 ","47.7 ","5.6 ","2.0 "
"연령","15세 - 20세","153 ","6.3 ","42.0 ","40.5 ","13.8 ","0.1 "
,"21세 - 30세","2,152 ","16.4 ","26.6 ","51.8 ","4.9 ","2.2 "
,"31세 - 40세","1,101 ","13.8 ","42.0 ","37.1 ","7.1 ","1.8 "
,"41세 - 50세","293 ","10.8 ","52.1 ","31.4 ","9.0 ","0.7 "
,"51세 - 60세","154 ","9.8 ","60.8 ","25.2 ","5.7 ","4.0 "
,"61세 이상","63 ","10.6 ","37.9 ","47.9 ","1.5 ","4.4 "
"방문목적","휴가 및 순수여행","3,419 ","13.8 ","36.8 ","44.9 ","4.9 ","1.8 "
,"비즈니스여행","136 ","19.5 ","17.4 ","21.5 ","40.0 ","4.6 "
,"기타","360 ","18.9 ","24.0 ","50.8 ","5.4 ","3.1 "
"여행형태","개별여행","3,399 ","15.5 ","33.1 ","46.5 ","4.8 ","1.9 "
,"완전 패키지여행","423 ","7.0 ","51.8 ","29.7 ","14.1 ","3.2 "
,"부분 패키지여행","93 ","12.9 ","28.3 ","45.1 ","18.3 ","1.2 "
"방문횟수","1회","2,629 ","11.7 ","38.6 ","43.1 ","7.1 ","2.2 "
,"2회","527 ","17.8 ","31.1 ","46.6 ","4.2 ","1.1 "
,"3회","277 ","22.7 ","24.3 ","48.7 ","4.5 ","1.7 "
,"4회 이상","483 ","21.6 ","25.5 ","48.4 ","4.0 ","2.2 "
;



;[113]
"　",,"응답자수","1명","2명","3명","4명","5명","6명"
"[전체]",,"3,916","14.5 ","45.5 ","16.3 ","9.9 ","4.7 ","2.6 "
"거주지","일본권","304 ","14.3 ","53.0 ","15.1 ","7.8 ","3.2 ","1.7 "
,"중국권","2,249 ","16.4 ","51.1 ","15.6 ","8.7 ","3.7 ","1.5 "
,"중화권","261 ","4.0 ","37.6 ","11.1 ","13.1 ","6.0 ","10.3 "
,"동남아권","620 ","4.9 ","34.0 ","14.0 ","16.0 ","11.2 ","4.6 "
,"북미권","83 ","15.4 ","30.8 ","31.5 ","19.4 ","0.5 ","1.4 "
,"기타","399 ","25.7 ","34.9 ","25.1 ","5.2 ","2.1 ","1.3 "
"성별","남자","1,061 ","15.5 ","44.3 ","15.7 ","7.5 ","4.9 ","3.2 "
,"여자","2,855 ","14.1 ","46.0 ","16.6 ","10.8 ","4.7 ","2.3 "
"연령","15세 - 20세","153 ","6.3 ","31.0 ","24.2 ","9.0 ","8.8 ","3.7 "
,"21세 - 30세","2,152 ","16.4 ","50.6 ","15.7 ","8.7 ","4.4 ","0.8 "
,"31세 - 40세","1,101 ","13.8 ","43.5 ","18.0 ","9.1 ","4.3 ","4.3 "
,"41세 - 50세","293 ","10.8 ","30.4 ","17.9 ","13.0 ","7.5 ","5.1 "
,"51세 - 60세","154 ","9.8 ","31.5 ","5.7 ","29.3 ","2.7 ","5.6 "
,"61세 이상","63 ","10.6 ","49.2 ","7.4 ","7.0 ","6.1 ","10.4 "
"방문목적","휴가 및 순수여행","3,419 ","13.8 ","46.3 ","16.4 ","10.1 ","4.9 ","2.7 "
,"비즈니스여행","136 ","19.5 ","24.1 ","13.9 ","6.6 ","2.7 ","3.1 "
,"기타","360 ","18.9 ","46.3 ","16.7 ","9.6 ","4.0 ","0.5 "
"여행형태","개별여행","3,399 ","15.5 ","47.6 ","16.9 ","9.4 ","4.7 ","2.5 "
,"완전 패키지여행","423 ","7.0 ","28.9 ","12.2 ","15.1 ","5.2 ","3.0 "
,"부분 패키지여행","93 ","12.9 ","45.7 ","12.2 ","6.0 ","4.3 ","1.7 "
"방문횟수","1회","2,629 ","11.7 ","44.0 ","16.2 ","10.9 ","5.5 ","3.4 "
,"2회","527 ","17.8 ","49.3 ","16.0 ","7.5 ","4.9 ","1.3 "
,"3회","277 ","22.7 ","50.3 ","15.4 ","8.0 ","1.6 ","0.7 "
,"4회 이상","483 ","21.6 ","46.9 ","17.9 ","8.6 ","2.4 ","0.7 "
;



;[114]
"　",,"응답자수","7명","8명","9명","10명","11명 이상","[평균]"
"[전체]",,"3,916","1.1 ","0.6 ","0.2 ","0.7 ","3.8 ","3.5 "
"거주지","일본권","304","1.6 ","0.3 ","0.0 ","0.9 ","2.0 ","2.7 "
,"중국권","2,249","0.8 ","0.3 ","0.1 ","0.3 ","1.7 ","2.8 "
,"중화권","261","0.2 ","2.8 ","1.3 ","2.3 ","11.3 ","7.5 "
,"동남아권","620","2.8 ","1.1 ","0.2 ","1.6 ","9.6 ","5.0 "
,"북미권","83","0.0 ","0.0 ","0.0 ","1.1 ","0.0 ","2.7 "
,"기타","399","0.3 ","0.8 ","0.2 ","0.0 ","4.4 ","3.4 "
"성별","남자","1,061","1.9 ","1.0 ","0.1 ","0.8 ","5.2 ","4.1 "
,"여자","2,855","0.8 ","0.5 ","0.3 ","0.6 ","3.3 ","3.3 "
"연령","15세 - 20세","153","1.0 ","2.3 ","0.2 ","2.5 ","11.1 ","5.2 "
,"21세 - 30세","2,152","0.5 ","0.2 ","0.1 ","0.3 ","2.4 ","2.9 "
,"31세 - 40세","1,101","1.7 ","0.3 ","0.4 ","0.8 ","3.9 ","3.6 "
,"41세 - 50세","293","3.2 ","3.1 ","1.0 ","2.6 ","5.3 ","4.6 "
,"51세 - 60세","154","0.5 ","3.2 ","0.0 ","0.3 ","11.2 ","6.1 "
,"61세 이상","63","0.0 ","0.0 ","0.0 ","0.0 ","9.3 ","4.1 "
"방문목적","휴가 및 순수여행","3,419","1.0 ","0.6 ","0.3 ","0.7 ","3.2 ","3.3 "
,"비즈니스여행","136","3.0 ","1.3 ","0.0 ","0.0 ","25.7 ","9.6 "
,"기타","360","1.3 ","0.7 ","0.0 ","0.3 ","1.6 ","2.7 "
"여행형태","개별여행","3,399","1.0 ","0.4 ","0.2 ","0.3 ","1.5 ","2.8 "
,"완전 패키지여행","423","1.3 ","2.6 ","0.8 ","3.1 ","20.9 ","8.6 "
,"부분 패키지여행","93","2.0 ","1.1 ","0.0 ","1.2 ","12.9 ","5.2 "
"방문횟수","1회","2,629","1.2 ","0.9 ","0.2 ","0.7 ","5.3 ","4.0 "
,"2회","527","1.0 ","0.1 ","0.1 ","0.5 ","1.6 ","2.8 "
,"3회","277","0.6 ","0.0 ","0.0 ","0.2 ","0.4 ","2.3 "
,"4회 이상","483","0.5 ","0.0 ","0.5 ","0.6 ","0.1 ","2.4 "
;



;[115]
"　",,"응답자수","0명","1명","2명","3명","4명","5명","6명","11명 이상","[평균]"
"[전체]",,"3,348","86.7 ","8.4 ","3.1 ","1.2 ","0.3 ","0.2 ","0.1 ","0.0 ","0.2 "
"거주지","일본권","260 ","88.2 ","4.8 ","3.4 ","3.7 ","0.0 ","0.0 ","0.0 ","0.0 ","0.2 "
,"중국권","1,881 ","89.0 ","7.9 ","2.0 ","0.7 ","0.3 ","0.1 ","0.0 ","0.0 ","0.2 "
,"중화권","251 ","82.7 ","9.1 ","5.2 ","1.6 ","0.3 ","0.4 ","0.6 ","0.0 ","0.3 "
,"동남아권","589 ","79.7 ","10.7 ","5.8 ","2.2 ","0.6 ","0.6 ","0.4 ","0.0 ","0.4 "
,"북미권","70 ","74.1 ","24.1 ","1.8 ","0.0 ","0.0 ","0.0 ","0.0 ","0.0 ","0.3 "
,"기타","296 ","91.0 ","5.8 ","2.7 ","0.0 ","0.0 ","0.0 ","0.0 ","0.5 ","0.2 "
"성별","남자","897 ","83.0 ","9.8 ","4.3 ","1.7 ","0.3 ","0.3 ","0.4 ","0.2 ","0.3 "
,"여자","2,452 ","88.1 ","7.9 ","2.6 ","1.0 ","0.3 ","0.2 ","0.0 ","0.0 ","0.2 "
"연령","15세 - 20세","143 ","82.1 ","9.3 ","7.3 ","0.9 ","0.3 ","0.0 ","0.1 ","0.0 ","0.3 "
,"21세 - 30세","1,799 ","91.8 ","6.2 ","1.0 ","0.7 ","0.2 ","0.1 ","0.0 ","0.0 ","0.1 "
,"31세 - 40세","949 ","83.7 ","10.5 ","4.0 ","1.0 ","0.4 ","0.2 ","0.2 ","0.0 ","0.3 "
,"41세 - 50세","261 ","75.4 ","8.9 ","8.3 ","5.7 ","0.6 ","1.0 ","0.0 ","0.0 ","0.5 "
,"51세 - 60세","139 ","66.2 ","21.3 ","8.7 ","0.8 ","0.7 ","0.3 ","1.0 ","1.1 ","0.7 "
,"61세 이상","56 ","87.8 ","6.6 ","5.6 ","0.0 ","0.0 ","0.0 ","0.0 ","0.0 ","0.2 "
"방문목적","휴가 및 순수여행","2,946 ","86.2 ","9.0 ","3.1 ","1.0 ","0.2 ","0.2 ","0.1 ","0.1 ","0.2 "
,"비즈니스여행","110 ","83.8 ","2.4 ","8.7 ","2.0 ","2.8 ","0.3 ","0.0 ","0.0 ","0.4 "
,"기타","292 ","92.7 ","4.1 ","1.0 ","2.1 ","0.1 ","0.0 ","0.0 ","0.0 ","0.1 "
"여행형태","개별여행","2,873 ","88.1 ","7.7 ","2.7 ","1.1 ","0.2 ","0.1 ","0.1 ","0.0 ","0.2 "
,"완전 패키지여행","394 ","76.7 ","13.3 ","6.4 ","1.4 ","1.1 ","0.6 ","0.0 ","0.4 ","0.4 "
,"부분 패키지여행","81 ","86.5 ","8.1 ","0.0 ","0.7 ","0.0 ","2.9 ","1.8 ","0.0 ","0.4 "
"방문횟수","1회","2,323 ","84.3 ","9.6 ","3.8 ","1.4 ","0.4 ","0.3 ","0.2 ","0.1 ","0.3 "
,"2회","433 ","89.4 ","8.3 ","1.7 ","0.5 ","0.1 ","0.1 ","0.0 ","0.0 ","0.1 "
,"3회","214 ","94.1 ","3.0 ","0.8 ","2.1 ","0.0 ","0.0 ","0.0 ","0.0 ","0.1 "
,"4회 이상","378 ","94.3 ","4.3 ","1.3 ","0.0 ","0.0 ","0.0 ","0.0 ","0.0 ","0.1 "
;



;[116]
"　",,"응답자수","개별여행(자유여행)","완전 패키지 여행","부분 패키지 여행(Air-tel)"
"[전체]",,"3,916","86.8 ","10.8 ","2.4 "
"거주지","일본권","304","78.7 ","11.7 ","9.6 "
,"중국권","2,249","94.9 ","3.7 ","1.5 "
,"중화권","261","69.5 ","28.3 ","2.2 "
,"동남아권","620","65.8 ","31.4 ","2.8 "
,"북미권","83","81.4 ","18.6 ","0.0 "
,"기타","399","92.7 ","5.2 ","2.1 "
"성별","남자","1,061","84.4 ","13.7 ","1.9 "
,"여자","2,855","87.7 ","9.7 ","2.5 "
"연령","15세 - 20세","153","85.7 ","12.0 ","2.3 "
,"21세 - 30세","2,152","92.9 ","5.5 ","1.6 "
,"31세 - 40세","1,101","86.1 ","11.3 ","2.6 "
,"41세 - 50세","293","65.9 ","30.2 ","3.8 "
,"51세 - 60세","154","51.7 ","39.9 ","8.4 "
,"61세 이상","63","75.9 ","20.7 ","3.4 "
"방문목적","휴가 및 순수여행","3,419","87.2 ","10.5 ","2.3 "
,"비즈니스여행","136","66.8 ","29.3 ","3.9 "
,"기타","360","90.8 ","6.7 ","2.6 "
"여행형태","개별여행","3,399","100.0 ","0.0 ","0.0 "
,"완전 패키지여행","423","0.0 ","100.0 ","0.0 "
,"부분 패키지여행","93","0.0 ","0.0 ","100.0 "
"방문횟수","1회","2,629","83.1 ","14.4 ","2.5 "
,"2회","527","91.5 ","5.8 ","2.7 "
,"3회","277","95.9 ","1.9 ","2.2 "
,"4회 이상","483","96.6 ","2.0 ","1.4 "
;



;[117]
"　",,"응답자수","호텔","모텔/ 호스텔","게스트하우스","펜션","콘도/ 리조트","친척/ 친구집","숙박 하지 않음","기타"
"[전체]",,"3,916","72.3 ","7.3 ","7.3 ","1.1 ","3.4 ","0.7 ","6.4 ","1.5 "
"거주지","일본권","304","77.9 ","2.7 ","4.9 ","0.7 ","2.6 ","2.0 ","9.2 ","0.0 "
,"중국권","2,249","78.5 ","8.7 ","1.6 ","0.8 ","3.8 ","0.5 ","5.9 ","0.3 "
,"중화권","261","79.6 ","5.0 ","3.2 ","1.1 ","7.2 ","0.3 ","3.6 ","0.0 "
,"동남아권","620","62.4 ","8.8 ","16.7 ","2.2 ","1.5 ","0.1 ","3.0 ","5.2 "
,"북미권","83","58.7 ","1.3 ","27.4 ","0.3 ","1.8 ","4.0 ","2.7 ","3.8 "
,"기타","399","46.3 ","3.1 ","25.6 ","1.6 ","2.6 ","1.1 ","15.5 ","4.1 "
"성별","남자","1,061","69.6 ","5.8 ","12.2 ","1.6 ","2.7 ","0.8 ","6.7 ","0.6 "
,"여자","2,855","73.3 ","7.8 ","5.5 ","0.9 ","3.7 ","0.6 ","6.3 ","1.9 "
"연령","15세 - 20세","153","56.1 ","6.8 ","11.6 ","1.3 ","5.0 ","0.8 ","16.1 ","2.3 "
,"21세 - 30세","2,152","71.2 ","8.5 ","7.4 ","0.9 ","4.0 ","0.5 ","5.2 ","2.3 "
,"31세 - 40세","1,101","75.5 ","5.7 ","7.5 ","1.3 ","2.6 ","0.2 ","7.1 ","0.1 "
,"41세 - 50세","293","78.3 ","5.0 ","5.9 ","0.7 ","1.8 ","2.1 ","5.7 ","0.6 "
,"51세 - 60세","154","77.2 ","2.1 ","5.7 ","3.1 ","3.3 ","3.4 ","5.3 ","0.0 "
,"61세 이상","63","51.8 ","18.4 ","0.7 ","1.0 ","0.7 ","1.4 ","20.9 ","5.1 "
"방문목적","휴가 및 순수여행","3,419","72.6 ","7.3 ","7.9 ","1.1 ","3.5 ","0.6 ","5.5 ","1.5 "
,"비즈니스여행","136","63.9 ","3.3 ","8.0 ","2.6 ","2.5 ","2.1 ","15.2 ","2.4 "
,"기타","360","72.3 ","8.1 ","2.0 ","0.6 ","3.0 ","0.7 ","12.0 ","1.3 "
"여행형태","개별여행","3,399","70.0 ","7.5 ","8.0 ","1.0 ","3.6 ","0.7 ","7.4 ","1.7 "
,"완전 패키지여행","423","87.3 ","6.4 ","2.3 ","1.5 ","1.9 ","0.5 ","0.0 ","0.0 "
,"부분 패키지여행","93","88.7 ","3.0 ","3.4 ","2.9 ","2.1 ","0.0 ","0.0 ","0.0 "
"방문횟수","1회","2,629","69.4 ","7.2 ","9.4 ","1.2 ","3.6 ","0.7 ","6.5 ","2.0 "
,"2회","527","75.7 ","8.3 ","5.1 ","0.7 ","3.0 ","0.4 ","6.1 ","0.7 "
,"3회","277","76.2 ","7.8 ","1.9 ","0.3 ","4.2 ","0.5 ","7.7 ","1.5 "
,"4회 이상","483","82.1 ","6.5 ","1.4 ","1.3 ","2.2 ","0.9 ","5.6 ","0.1 "
;



;[118]
"　",,"응답자수","렌터카","버스","택시","전세버스 (여행사제공)","시티투어버스","자전거, 오토바이","친구 및 지인차량","기타"
"[전체]",,"3,916","15.0 ","20.0 ","34.7 ","12.9 ","2.1 ","0.1 ","7.1 ","8.1 "
"거주지","일본권","304 ","9.5 ","15.9 ","55.2 ","6.3 ","1.9 ","0.0 ","2.2 ","9.1 "
,"중국권","2,249 ","12.9 ","16.7 ","39.6 ","7.5 ","2.2 ","0.2 ","10.6 ","10.3 "
,"중화권","261 ","13.3 ","20.4 ","20.8 ","35.2 ","2.3 ","0.0 ","3.9 ","4.1 "
,"동남아권","620 ","26.2 ","20.1 ","14.9 ","30.8 ","1.8 ","0.0 ","1.3 ","4.9 "
,"북미권","83 ","25.9 ","20.8 ","22.9 ","18.4 ","1.5 ","0.0 ","5.6 ","4.9 "
,"기타","399 ","12.3 ","40.7 ","33.6 ","4.8 ","1.7 ","0.2 ","2.9 ","3.8 "
"성별","남자","1,061 ","14.0 ","22.4 ","32.0 ","15.3 ","2.4 ","0.1 ","6.3 ","7.5 "
,"여자","2,855 ","15.3 ","19.1 ","35.7 ","12.0 ","1.9 ","0.2 ","7.4 ","8.4 "
"연령","15세 - 20세","153 ","13.8 ","37.5 ","26.4 ","11.7 ","2.5 ","0.0 ","4.4 ","3.8 "
,"21세 - 30세","2,152 ","14.8 ","20.5 ","37.1 ","8.0 ","2.3 ","0.2 ","8.7 ","8.3 "
,"31세 - 40세","1,101 ","17.2 ","17.8 ","34.9 ","13.6 ","1.5 ","0.2 ","6.3 ","8.5 "
,"41세 - 50세","293 ","12.5 ","16.0 ","30.0 ","29.5 ","1.7 ","0.0 ","2.6 ","7.6 "
,"51세 - 60세","154 ","12.5 ","18.9 ","17.8 ","39.3 ","0.9 ","0.0 ","3.3 ","7.3 "
,"61세 이상","63 ","3.0 ","18.5 ","31.2 ","29.9 ","4.9 ","0.0 ","3.1 ","9.4 "
"방문목적","휴가 및 순수여행","3,419 ","15.9 ","21.0 ","33.8 ","13.0 ","2.1 ","0.1 ","6.2 ","7.9 "
,"비즈니스여행","136 ","9.1 ","13.4 ","33.4 ","28.2 ","2.7 ","0.9 ","4.1 ","8.2 "
,"기타","360 ","8.7 ","12.7 ","43.3 ","6.7 ","1.0 ","0.0 ","17.0 ","10.6 "
"여행형태","개별여행","3,399 ","16.9 ","22.3 ","37.9 ","4.2 ","2.0 ","0.2 ","8.1 ","8.5 "
,"완전 패키지여행","423 ","0.0 ","4.3 ","7.1 ","81.0 ","3.0 ","0.0 ","0.0 ","4.6 "
,"부분 패키지여행","93 ","14.5 ","5.3 ","43.0 ","20.5 ","0.8 ","0.0 ","4.7 ","11.1 "
"방문횟수","1회","2,629 ","16.7 ","23.4 ","31.2 ","16.6 ","1.8 ","0.0 ","3.3 ","7.0 "
,"2회","527 ","11.4 ","17.4 ","41.5 ","7.0 ","3.2 ","0.3 ","7.8 ","11.4 "
,"3회","277 ","14.1 ","9.6 ","42.0 ","4.1 ","3.8 ","0.3 ","15.8 ","10.4 "
,"4회 이상","483 ","10.3 ","10.2 ","41.8 ","4.5 ","1.1 ","0.4 ","22.1 ","9.5 "
;



;[119]
"　",,"응답자수","자연경관감상","식도락 (맛집여행)","산/오름/올레길 트레킹","쇼핑","박물관/테마공원 방문","회의/ 업무/ 컨벤션/세미나"
"[전체]",,"3,916","89.9 ","92.0 ","27.1 ","92.0 ","31.5 ","3.9 "
"거주지","일본권","304","85.4 ","93.6 ","16.4 ","89.9 ","24.3 ","2.8 "
,"중국권","2,249","87.8 ","95.5 ","20.3 ","97.2 ","23.5 ","3.1 "
,"중화권","261","86.6 ","76.7 ","40.9 ","84.0 ","31.4 ","1.0 "
,"동남아권","620","96.6 ","80.3 ","36.2 ","89.4 ","50.0 ","5.0 "
,"북미권","83","99.1 ","98.6 ","40.2 ","77.0 ","71.1 ","8.8 "
,"기타","399","95.5 ","97.7 ","48.0 ","76.8 ","45.4 ","8.8 "
"성별","남자","1,061","88.6 ","90.9 ","31.8 ","87.9 ","35.6 ","7.2 "
,"여자","2,855","90.4 ","92.4 ","25.4 ","93.5 ","30.0 ","2.7 "
"연령","15세 - 20세","153","91.4 ","91.4 ","36.8 ","85.7 ","45.7 ","5.6 "
,"21세 - 30세","2,152","89.1 ","95.2 ","25.9 ","93.8 ","26.4 ","2.8 "
,"31세 - 40세","1,101","89.8 ","91.6 ","24.1 ","92.4 ","34.3 ","5.2 "
,"41세 - 50세","293","92.6 ","79.9 ","32.5 ","88.4 ","34.2 ","5.4 "
,"51세 - 60세","154","96.8 ","77.9 ","39.9 ","79.1 ","54.0 ","3.4 "
,"61세 이상","63","90.2 ","81.2 ","45.3 ","87.7 ","58.1 ","12.3 "
"방문목적","휴가 및 순수여행","3,419","91.7 ","92.0 ","28.4 ","92.2 ","33.1 ","2.6 "
,"비즈니스여행","136","87.1 ","80.6 ","31.4 ","75.3 ","30.0 ","40.0 "
,"기타","360","74.3 ","96.3 ","13.9 ","96.1 ","16.8 ","3.2 "
"여행형태","개별여행","3,399","89.5 ","97.5 ","26.3 ","92.3 ","30.4 ","3.9 "
,"완전 패키지여행","423","93.7 ","50.4 ","34.7 ","90.6 ","42.9 ","3.9 "
,"부분 패키지여행","93","87.1 ","80.9 ","22.1 ","86.2 ","21.0 ","3.5 "
"방문횟수","1회","2,629","92.5 ","90.0 ","31.7 ","89.3 ","37.5 ","4.6 "
,"2회","527","87.1 ","95.0 ","20.8 ","96.3 ","25.7 ","2.5 "
,"3회","277","84.3 ","96.2 ","15.1 ","98.5 ","15.3 ","3.0 "
,"4회 이상","483","82.6 ","97.0 ","16.1 ","98.4 ","14.5 ","2.4 "
;



;[120]
"　",,"응답자수","공연/축제/이벤트 참여","해변활동 (해수욕 등)","유흥/오락/경마","전통문화 체험","종교/ 순례활동"
"[전체]",,"3,916","2.9 ","25.0 ","10.2 ","13.4 ","1.0 "
"거주지","일본권","304","3.5 ","25.6 ","10.8 ","1.9 ","2.5 "
,"중국권","2,249","2.1 ","25.7 ","10.1 ","8.2 ","0.5 "
,"중화권","261","5.6 ","27.4 ","10.4 ","28.2 ","2.4 "
,"동남아권","620","4.7 ","13.5 ","8.8 ","27.4 ","1.0 "
,"북미권","83","6.5 ","39.8 ","18.6 ","37.2 ","0.3 "
,"기타","399","2.0 ","33.6 ","10.2 ","15.1 ","1.4 "
"성별","남자","1,061","3.3 ","21.1 ","12.4 ","17.8 ","1.9 "
,"여자","2,855","2.8 ","26.4 ","9.4 ","11.8 ","0.6 "
"연령","15세 - 20세","153","2.2 ","31.3 ","18.4 ","17.6 ","1.1 "
,"21세 - 30세","2,152","2.6 ","27.7 ","9.6 ","11.1 ","0.6 "
,"31세 - 40세","1,101","2.8 ","22.7 ","9.6 ","15.0 ","1.3 "
,"41세 - 50세","293","4.6 ","13.0 ","10.8 ","16.2 ","1.2 "
,"51세 - 60세","154","4.5 ","23.0 ","14.6 ","21.5 ","2.2 "
,"61세 이상","63","6.1 ","16.6 ","6.2 ","22.2 ","5.4 "
"방문목적","휴가 및 순수여행","3,419","3.0 ","26.1 ","10.7 ","13.6 ","0.9 "
,"비즈니스여행","136","3.7 ","17.0 ","4.4 ","21.7 ","2.9 "
,"기타","360","2.2 ","17.1 ","7.0 ","8.4 ","1.1 "
"여행형태","개별여행","3,399","2.5 ","26.0 ","10.0 ","10.9 ","0.7 "
,"완전 패키지여행","423","5.1 ","16.1 ","11.8 ","33.8 ","3.4 "
,"부분 패키지여행","93","10.5 ","26.7 ","8.7 ","12.9 ","1.5 "
"방문횟수","1회","2,629","3.3 ","24.8 ","10.2 ","16.4 ","1.1 "
,"2회","527","2.7 ","25.1 ","11.8 ","8.3 ","1.1 "
,"3회","277","3.2 ","24.6 ","10.3 ","8.5 ","0.6 "
,"4회 이상","483","0.9 ","26.1 ","8.0 ","5.7 ","0.4 "
;



;[121]
